"kTotal" "kWithin" "kOut" "kDiff"
"GENE:JGI_V11_100036" 107.001400087751 56.8247735494917 50.1766265382593 6.6481470112324
"GENE:JGI_V11_100066" 40.2847404124924 13.6153856711666 26.6693547413258 -13.0539690701593
"GENE:JGI_V11_100070" 31.2108647198092 11.4297827159781 19.7810820038311 -8.35129928785301
"GENE:JGI_V11_100082" 206.949158468609 98.4732819927064 108.475876475903 -10.0025944831966
"GENE:JGI_V11_100137" 1.22737758690167 0.160398500396806 1.06697908650486 -0.906580586108057
"GENE:JGI_V11_100142" 11.2257485823164 5.15597644133795 6.06977214097845 -0.913795699640495
"GENE:JGI_V11_100180" 4.18997683261141 1.75873691585863 2.43123991675279 -0.672503000894163
"GENE:JGI_V11_100198" 2.4366066330968 1.22496558177009 1.21164105132671 0.0133245304433816
"GENE:JGI_V11_100200" 2.30548569409868 0.232002994413381 2.0734826996853 -1.84147970527191
"GENE:JGI_V11_100207" 8.99392106296995 2.99574811124761 5.99817295172234 -3.00242484047472
"GENE:JGI_V11_100208" 8.14568554568247 2.67053252642748 5.47515301925498 -2.8046204928275
"GENE:JGI_V11_100213" 125.63714207136 51.4948537030306 74.1422883683293 -22.6474346652987
"GENE:JGI_V11_100217" 11.9467667576186 2.42659853208459 9.52016822553402 -7.09356969344943
"GENE:JGI_V11_100218" 7.82659187464754 2.40098588222499 5.42560599242255 -3.02462011019756
"GENE:JGI_V11_100245" 84.7678596404221 41.6252210301868 43.1426386102353 -1.51741758004853
"GENE:JGI_V11_100270" 27.6684255025444 13.7413501237106 13.9270753788337 -0.185725255123074
"GENE:JGI_V11_100284" 40.5402118293142 16.8029200900222 23.737291739292 -6.93437164926983
"GENE:JGI_V11_100304" 61.4027118683867 21.645371450385 39.7573404180017 -18.1119689676167
"GENE:JGI_V11_100309" 35.6018923251262 6.85152550759717 28.750366817529 -21.8988413099319
"GENE:JGI_V11_100339" 148.088094471002 94.3650885520155 53.7230059189863 40.6420826330292
"GENE:JGI_V11_100340" 174.3732998046 80.3742739518428 93.9990258527577 -13.6247519009149
"GENE:JGI_V11_100344" 18.6602742411327 5.78748310116507 12.8727911399677 -7.08530803880259
"GENE:JGI_V11_100385" 2.53060055276162 0.847296253958533 1.68330429880308 -0.83600804484455
"GENE:JGI_V11_100387" 44.7831062525635 15.4485360473262 29.3345702052373 -13.8860341579111
"GENE:JGI_V11_100432" 34.4184844731545 12.1548582503477 22.2636262228068 -10.1087679724591
"GENE:JGI_V11_100451" 43.6386352400796 4.87863082820962 38.76000441187 -33.8813735836604
"GENE:JGI_V11_10046" 0.166033944411381 0.0644733050485895 0.101560639362792 -0.0370873343142024
"GENE:JGI_V11_100467" 48.5534032694723 25.2486345965625 23.3047686729099 1.94386592365262
"GENE:JGI_V11_100476" 47.4242409990497 14.9793571259306 32.4448838731192 -17.4655267471886
"GENE:JGI_V11_100485" 208.097973147848 150.020520326909 58.0774528209386 91.9430675059709
"GENE:JGI_V11_100505" 122.088624029275 66.477061588617 55.6115624406575 10.8654991479595
"GENE:JGI_V11_100529" 18.7305094676049 10.0641308645139 8.66637860309099 1.39775226142289
"GENE:JGI_V11_100541" 27.9323209767178 13.0031990051848 14.929121971533 -1.92592296634826
"GENE:JGI_V11_100563" 257.653852205545 158.242027820353 99.4118243851914 58.8302034351618
"GENE:JGI_V11_100564" 31.2001642537391 2.42611224933465 28.7740520044045 -26.3479397550698
"GENE:JGI_V11_100606" 246.153455193197 137.576315149124 108.577140044073 28.9991751050509
"GENE:JGI_V11_100611" 0.404371305258097 0.157939281571189 0.246432023686908 -0.0884927421157184
"GENE:JGI_V11_100622" 189.941972025491 119.032829378688 70.9091426468026 48.1236867318857
"GENE:JGI_V11_100633" 48.52424251395 21.1642263596123 27.3600161543377 -6.1957897947254
"GENE:JGI_V11_100635" 170.151891751281 94.0937008614099 76.0581908898714 18.0355099715384
"GENE:JGI_V11_100643" 123.759441685485 73.3364797768058 50.4229619086787 22.9135178681271
"GENE:JGI_V11_100649" 3.02761868092036 1.74194592224332 1.28567275867703 0.456273163566291
"GENE:JGI_V11_100705" 250.948198674543 104.414192005215 146.534006669327 -42.119814664112
